date,open,high,low,close,volume,ema_20,sma_20,ema_50,sma_50,ema_200,sma_200,rsi,macd_h,bb_pct,atr,obv,ema20_x_50,spy_ret,qqq_ret,dxy_ret,gold_ret,vix,fg_val,label
2024-02-21 16:00:00+00:00,51156.0,51427.43,50649.28,51058.0,7754.08258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0905752453473018,-0.4001815521524898,-0.0672556625602727,-0.2564710812268833,15.34000015258789,78.0,1
2024-02-21 20:00:00+00:00,51057.99,51950.01,50862.5,51849.39,6857.79153,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,6857.79153,0,0.0905752453473018,-0.4001815521524898,-0.0672556625602727,-0.2564710812268833,15.34000015258789,78.0,0
2024-02-22 00:00:00+00:00,51849.38,51878.18,51153.69,51586.1,4685.41723,0.0,0.0,0.0,0.0,0.0,0.0,97.50468186091648,0.0,0.0,0.0,2172.3743000000004,0,2.069552652617324,2.9275612563425035,-0.0480752338532952,-0.1285713095718232,14.539999961853027,74.0,0
2024-02-22 04:00:00+00:00,51586.1,51910.32,51352.0,51827.63,4426.10745,0.0,0.0,0.0,0.0,0.0,0.0,97.56471581817314,0.0,0.0,0.0,6598.481750000001,0,2.069552652617324,2.9275612563425035,-0.0480752338532952,-0.1285713095718232,14.539999961853027,74.0,0
2024-02-22 08:00:00+00:00,51827.63,52034.12,51517.63,51622.04,5505.24135,0.0,0.0,0.0,0.0,0.0,0.0,95.4594565203201,0.0,0.0,0.0,1093.2404000000006,0,2.069552652617324,2.9275612563425035,-0.0480752338532952,-0.1285713095718232,14.539999961853027,74.0,0
2024-02-22 12:00:00+00:00,51622.05,51733.05,50940.78,51602.4,8605.10808,0.0,0.0,0.0,0.0,0.0,0.0,95.24801371206112,0.0,0.0,0.0,-7511.867679999999,0,2.069552652617324,2.9275612563425035,-0.0480752338532952,-0.1285713095718232,14.539999961853027,74.0,0
2024-02-22 16:00:00+00:00,51602.41,51750.01,51400.0,51509.99,5304.8486,0.0,0.0,0.0,0.0,0.0,0.0,94.19084374185688,0.0,0.0,0.0,-12816.71628,0,2.069552652617324,2.9275612563425035,-0.0480752338532952,-0.1285713095718232,14.539999961853027,74.0,0
2024-02-22 20:00:00+00:00,51509.99,52065.78,51184.04,51288.42,6782.72303,0.0,0.0,0.0,0.0,0.0,0.0,91.56660893145155,0.0,0.0,0.0,-19599.43931,0,2.069552652617324,2.9275612563425035,-0.0480752338532952,-0.1285713095718232,14.539999961853027,74.0,0
2024-02-23 00:00:00+00:00,51288.42,51548.54,50971.11,51100.0,4695.56436,0.0,0.0,0.0,0.0,0.0,0.0,89.28841933260408,0.0,0.0,0.0,-24295.00367,0,0.0689709482756706,-0.2944737485270687,-0.0192349396330393,0.9357837733815932,13.75,76.0,0
2024-02-23 04:00:00+00:00,51100.0,51321.92,50889.0,50915.96,3958.88987,0.0,0.0,0.0,0.0,0.0,0.0,87.011236082558,0.0,0.0,0.0,-28253.89354,0,0.0689709482756706,-0.2944737485270687,-0.0192349396330393,0.9357837733815932,13.75,76.0,0
2024-02-23 08:00:00+00:00,50915.95,51263.22,50830.0,51218.95,4762.093,0.0,0.0,0.0,0.0,0.0,0.0,87.57314364621301,0.0,0.0,0.0,-23491.80054,0,0.0689709482756706,-0.2944737485270687,-0.0192349396330393,0.9357837733815932,13.75,76.0,0
2024-02-23 12:00:00+00:00,51218.94,51333.47,50800.32,50911.11,8302.82835,0.0,0.0,0.0,0.0,0.0,0.0,83.61525116516268,0.0,0.0,0.0,-31794.62889,0,0.0689709482756706,-0.2944737485270687,-0.0192349396330393,0.9357837733815932,13.75,76.0,0
